product_url,product_title,brand,categories,condition,description,image_url,Style,Colorway,Retail Price,Release Date,Included Accessories,Featured,Source,Uploaded By,size,price,discount,discount_percent,UPC,search_keyword
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 3.5,310,-8,-2.5157,196605989649,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 4,262,0,,196605989656,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 4.5,256,-5,-1.9157,196605989663,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 5,265,6,2.3165999999999998,196605989670,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 5.5,275,-48,-14.8607,196605989687,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 6,276,-22,-7.3826,196605989694,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 6.5,316,1,0.3175,196605989700,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 7,300,-20,-6.25,196605989717,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 7.5,335,0,-0.1766,196605989724,kobe
https://stockx.com/nike-kobe-4-protro-gigi,Nike Kobe 4 Protro Mambacita Gigi,Nike,Home / sneakers / Nike / Kobe / 4 / Nike Kobe 4 Protro Mambacita Gigi,New,"Nike is honoring Kobe and Gigi Bryant, with the release of the Kobe 4 Protro Mambacita Gigi. The limited edition sneakers come with a specially designed box, white snakeskin textured box that features gold Mambacita branding on top. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi is designed in a classic two-tone black and white colorway, with added checkerboard accents on the heel. Nike added some color with gold accents on the tongue, and heel of the sneaker, with the number 2, Gigi Bryant's jersey number. The sneakers come with three different lace options and feature specially branded checkerboarded Mambacita insoles. 
<br>
<br>
The Nike Kobe 4 Protro Mambacita Gigi released May 1, 2023, with a retail price of $180.",https://images.stockx.com/images/Nike-Kobe-4-Protro-Gigi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683627203,FJ9363-100,White/White/Black/Metallic Gold/Bright Emerald,180,2023-05-01,"Special Box, Special Paper, Dotted Extra Laces, White Extra Laces with ""GIGI"" lace tip",false,merchandising-international-personal,MM,US M 8,331,1,0.053,196605989731,kobe
